dataset,column,typeof,definition
co2_intensity_scenario_demo,scenario_source,character,The source publication from which the scenario was taken
co2_intensity_scenario_demo,scenario,character,The name of the scenario
co2_intensity_scenario_demo,sector,character,The sector to which the scenario prescribes a pathway
co2_intensity_scenario_demo,region,character,The region to which the pathway is relevant
co2_intensity_scenario_demo,year,integer,The year at which the pathway value is prescribed
co2_intensity_scenario_demo,emission_factor_unit,character,The units that the emissions factor is measured in
co2_intensity_scenario_demo,emission_factor,double,The target sector level emissions factor that the scenario prescribes
