original_code,code_level,code,sector,borderline
"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES",2,102,not in scope,FALSE
RENTAL AND LEASING ACTIVITIES,2,103,not in scope,FALSE
SECURITY AND INVESTIGATION ACTIVITIES,2,104,not in scope,FALSE
EMPLOYMENT ACTIVITIES,2,105,not in scope,FALSE
POULTRY & LIVESTOCK,2,201,not in scope,FALSE
CROP PRODUCTION,2,202,not in scope,FALSE
FISHING,2,203,not in scope,FALSE
PLANTATION,2,204,not in scope,FALSE
AGRO SERVICES,2,205,not in scope,FALSE
CASH CROPS,2,206,not in scope,FALSE
Fishing,2,207,not in scope,FALSE
"CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES",2,301,not in scope,FALSE
SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES,2,302,not in scope,FALSE
CIVIL ENGINEERING,2,401,not in scope,FALSE
SPECIALIZED CONSTRUCTION ACTIVITIES,2,402,not in scope,FALSE
SPECIALIZED CONSTRUCTION SERVICES,2,403,not in scope,FALSE
POST PRIMARY EDUCATION,2,501,not in scope,FALSE
PRE PRIMARY AND PRIMARY EDUCATION,2,502,not in scope,FALSE
TERTIARY EDUCATION,2,503,not in scope,FALSE
EDUCATION SUPPORT SERVICES,2,504,not in scope,FALSE
PRE PRIMARY AND PRIMARY EDUCATION,2,505,not in scope,FALSE
OTHER FINANCIAL INSTITUTIONS,2,601,not in scope,FALSE
MICROFINANCE BANK,2,602,not in scope,FALSE
MORTGAGE INSTITUTIONS,2,603,not in scope,FALSE
ASSET MANAGEMENT,2,604,not in scope,FALSE
COMMERCIAL BANKS,2,605,not in scope,FALSE
STOCK BROKING FIRMS,2,606,not in scope,FALSE
INSURANCE COMPANIES,2,607,not in scope,FALSE
Personal,2,701,not in scope,FALSE
PERSONAL,2,702,not in scope,FALSE
RETAIL (OTHERS),2,703,not in scope,FALSE
RETAIL (Others),2,704,not in scope,FALSE
HOTEL & LEISURE,2,705,not in scope,FALSE
LOGISTICS,2,706,not in scope,FALSE
RELIGIOUS BODIES,2,707,not in scope,FALSE
Retail (Others),2,708,not in scope,FALSE
DOMESTIC TRADE,2,801,not in scope,FALSE
Domestic Trade,2,802,not in scope,FALSE
AUTOMOBILE (MOTOR VEHICLES),2,803,automotive,TRUE
GENERATOR SET (SALES AND SERVICES),2,804,not in scope,FALSE
FOOD PROCESSING,2,805,not in scope,FALSE
automotive PARTS,2,806,automotive,TRUE
Domestic trade,2,807,not in scope,FALSE
PHARMACEUTICALS,2,808,not in scope,FALSE
TRADING (TYRE),2,809,not in scope,FALSE
DOMESTIC TRADE,2,810,not in scope,FALSE
STATE (DIRECT),2,901,not in scope,FALSE
Local (Direct),2,902,not in scope,FALSE
State(Parastatals),2,903,not in scope,FALSE
STATE (PARASTATAL),2,904,not in scope,FALSE
HUMAN HEALTH ACTIVITIES,2,1001,not in scope,FALSE
RESIDENTIAL CARE ACTIVITIES,2,1002,not in scope,FALSE
INFORMATION SERVICE ACTIVITIES,2,1101,not in scope,FALSE
"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",2,1102,not in scope,FALSE
PUBLISHING ACTIVITIES,2,1103,not in scope,FALSE
Telecommunications,2,1104,not in scope,FALSE
TELECOMMUNICATIONS,2,1105,not in scope,FALSE
SOFT DRINKS,2,1201,not in scope,FALSE
steel ROLLING MILLS,2,1202,steel,FALSE
BUILDING MATERIALS,2,1203,not in scope,FALSE
BEVERAGES,2,1204,not in scope,FALSE
CHEMICALS AND ALLIED PRODUCTS,2,1205,not in scope,FALSE
BASIC METAL PRODUCTS,2,1206,not in scope,FALSE
PHARMACEUTICALS,2,1207,not in scope,FALSE
ALUMINIUM AND ALLIED PRODUCTS,2,1208,not in scope,FALSE
PLASTICS,2,1209,not in scope,FALSE
cement,2,1210,cement,FALSE
PAPER AND PAPER PRODUCTS,2,1211,not in scope,FALSE
MISCELLANEOUS MANUFACTURING,2,1212,not in scope,FALSE
PAINTS AND ALLIED PRODUCTS,2,1213,not in scope,FALSE
HOUSEHOLD EQUIPMENT,2,1214,not in scope,FALSE
FOOD MANUFACTURING,2,1215,not in scope,FALSE
PERSONAL CARE,2,1216,not in scope,FALSE
TEXTILES AND APPAREL,2,1217,not in scope,FALSE
CABLES AND MINES,2,1218,not in scope,FALSE
FLOURMILLS AND BAKERIES,2,1219,not in scope,FALSE
CONGLOMERATE,2,1220,not in scope,FALSE
PERSONAL,2,1221,not in scope,FALSE
Automobile (Motor Vehicles),2,1222,automotive,FALSE
FOOD MANUFACTURING,2,1223,not in scope,FALSE
PRINTING AND PUBLISHING,2,1224,not in scope,FALSE
RUBBER AND ALLIED PRODUCTS,2,1225,not in scope,FALSE
BREWERIES,2,1226,not in scope,FALSE
OIL - DOWNSTREAM,2,1301,oil and gas,TRUE
OIL & GAS SERVICES,2,1302,oil and gas,TRUE
