region,isos,source
middle east,jo,weo_2023
middle east,kw,weo_2023
middle east,lb,weo_2023
middle east,om,weo_2023
middle east,qa,weo_2023
middle east,sa,weo_2023
middle east,sy,weo_2023
middle east,ae,weo_2023
middle east,ye,weo_2023
north america,ca,weo_2023
north america,mx,weo_2023
north america,us,weo_2023
oecd,au,weo_2023
oecd,at,weo_2023
oecd,be,weo_2023
oecd,ca,weo_2023
oecd,cl,weo_2023
oecd,co,weo_2023
oecd,cr,weo_2023
oecd,cz,weo_2023
oecd,dk,weo_2023
oecd,ee,weo_2023
oecd,fi,weo_2023
oecd,fr,weo_2023
oecd,de,weo_2023
oecd,gr,weo_2023
oecd,hu,weo_2023
oecd,is,weo_2023
oecd,ie,weo_2023
oecd,il,weo_2023
oecd,it,weo_2023
oecd,jp,weo_2023
oecd,kp,weo_2023
oecd,lv,weo_2023
oecd,lt,weo_2023
oecd,lu,weo_2023
oecd,mx,weo_2023
oecd,nl,weo_2023
oecd,nz,weo_2023
oecd,no,weo_2023
oecd,pl,weo_2023
oecd,pt,weo_2023
oecd,sk,weo_2023
oecd,si,weo_2023
oecd,es,weo_2023
oecd,se,weo_2023
oecd,ch,weo_2023
oecd,tr,weo_2023
oecd,gb,weo_2023
oecd,us,weo_2023
opec,dz,weo_2023
opec,ao,weo_2023
opec,cg,weo_2023
opec,gq,weo_2023
opec,ga,weo_2023
opec,ir,weo_2023
opec,iq,weo_2023
opec,kw,weo_2023
opec,ly,weo_2023
opec,ng,weo_2023
opec,sa,weo_2023
opec,ae,weo_2023
opec,ve,weo_2023
southeast asia,bn,weo_2023
southeast asia,kh,weo_2023
southeast asia,id,weo_2023
southeast asia,la,weo_2023
southeast asia,my,weo_2023
southeast asia,mm,weo_2023
southeast asia,ph,weo_2023
southeast asia,sg,weo_2023
southeast asia,th,weo_2023
southeast asia,vn,weo_2023
global,bg,weo_2023
global,hr,weo_2023
global,cy,weo_2023
global,mt,weo_2023
global,ro,weo_2023
global,au,weo_2023
global,at,weo_2023
global,be,weo_2023
global,ca,weo_2023
global,cl,weo_2023
global,cz,weo_2023
global,dk,weo_2023
global,ee,weo_2023
global,fi,weo_2023
global,fr,weo_2023
global,de,weo_2023
global,gr,weo_2023
global,hu,weo_2023
global,is,weo_2023
global,ie,weo_2023
global,il,weo_2023
global,it,weo_2023
global,jp,weo_2023
global,kp,weo_2023
global,lv,weo_2023
global,lt,weo_2023
global,lu,weo_2023
global,mx,weo_2023
global,nl,weo_2023
global,nz,weo_2023
global,no,weo_2023
global,pl,weo_2023
global,pt,weo_2023
global,sk,weo_2023
global,si,weo_2023
global,es,weo_2023
global,se,weo_2023
global,ch,weo_2023
global,tr,weo_2023
global,gb,weo_2023
global,us,weo_2023
global,dz,weo_2023
global,eg,weo_2023
global,ly,weo_2023
global,ma,weo_2023
global,tn,weo_2023
global,ao,weo_2023
global,bj,weo_2023
global,bw,weo_2023
global,cm,weo_2023
global,cg,weo_2023
global,ci,weo_2023
global,cd,weo_2023
global,er,weo_2023
global,et,weo_2023
global,ga,weo_2023
global,gh,weo_2023
global,ke,weo_2023
global,mu,weo_2023
global,mz,weo_2023
global,na,weo_2023
global,ne,weo_2023
global,ng,weo_2023
global,sn,weo_2023
global,za,weo_2023
global,ss,weo_2023
global,sd,weo_2023
global,tz,weo_2023
global,tg,weo_2023
global,zm,weo_2023
global,zw,weo_2023
global,bd,weo_2023
global,cn,weo_2023
global,in,weo_2023
global,mn,weo_2023
global,np,weo_2023
global,pk,weo_2023
global,lk,weo_2023
global,tw,weo_2023
global,bn,weo_2023
global,kh,weo_2023
global,id,weo_2023
global,la,weo_2023
global,my,weo_2023
global,mm,weo_2023
global,ph,weo_2023
global,sg,weo_2023
global,th,weo_2023
global,vn,weo_2023
global,af,weo_2023
global,bt,weo_2023
global,ck,weo_2023
global,fj,weo_2023
global,pf,weo_2023
global,ki,weo_2023
global,mo,weo_2023
global,mv,weo_2023
global,nc,weo_2023
global,pw,weo_2023
global,pg,weo_2023
global,ws,weo_2023
global,sb,weo_2023
global,tl,weo_2023
global,to,weo_2023
global,vu,weo_2023
global,am,weo_2023
global,az,weo_2023
global,ge,weo_2023
global,kz,weo_2023
global,kg,weo_2023
global,tj,weo_2023
global,tm,weo_2023
global,uz,weo_2023
global,ar,weo_2023
global,bo,weo_2023
global,br,weo_2023
global,co,weo_2023
global,cr,weo_2023
global,cu,weo_2023
global,cw,weo_2023
global,do,weo_2023
global,ec,weo_2023
global,sv,weo_2023
global,gt,weo_2023
global,ht,weo_2023
global,hn,weo_2023
global,jm,weo_2023
global,ni,weo_2023
global,pa,weo_2023
global,py,weo_2023
global,pe,weo_2023
global,sr,weo_2023
global,tt,weo_2023
global,uy,weo_2023
global,ve,weo_2023
global,ai,weo_2023
global,ag,weo_2023
global,aw,weo_2023
global,bs,weo_2023
global,bb,weo_2023
global,bz,weo_2023
global,bm,weo_2023
global,bq,weo_2023
global,vg,weo_2023
global,ky,weo_2023
global,dm,weo_2023
global,fk,weo_2023
global,gf,weo_2023
global,gd,weo_2023
global,gp,weo_2023
global,gy,weo_2023
global,mq,weo_2023
global,ms,weo_2023
global,lc,weo_2023
global,pm,weo_2023
global,vc,weo_2023
global,mf,weo_2023
global,tc,weo_2023
global,hk,weo_2023
global,ru,weo_2023
global,al,weo_2023
global,by,weo_2023
global,ba,weo_2023
global,mk,weo_2023
global,gi,weo_2023
global,xk,weo_2023
global,me,weo_2023
global,rs,weo_2023
global,md,weo_2023
global,ua,weo_2023
global,bh,weo_2023
global,ir,weo_2023
global,iq,weo_2023
global,jo,weo_2023
global,kw,weo_2023
global,lb,weo_2023
global,om,weo_2023
global,qa,weo_2023
global,sa,weo_2023
global,sy,weo_2023
global,ae,weo_2023
global,ye,weo_2023
global,gq,weo_2023
global,bf,weo_2023
global,bi,weo_2023
global,cv,weo_2023
global,cf,weo_2023
global,td,weo_2023
global,km,weo_2023
global,dj,weo_2023
global,gm,weo_2023
global,gn,weo_2023
global,gw,weo_2023
global,ls,weo_2023
global,lr,weo_2023
global,mg,weo_2023
global,mw,weo_2023
global,ml,weo_2023
global,mr,weo_2023
global,re,weo_2023
global,rw,weo_2023
global,st,weo_2023
global,sc,weo_2023
global,sl,weo_2023
global,so,weo_2023
global,ug,weo_2023
developing economies,dz,weo_2023
developing economies,eg,weo_2023
developing economies,ly,weo_2023
developing economies,ma,weo_2023
developing economies,tn,weo_2023
developing economies,ao,weo_2023
developing economies,bj,weo_2023
developing economies,bw,weo_2023
developing economies,cm,weo_2023
developing economies,cg,weo_2023
developing economies,ci,weo_2023
developing economies,cd,weo_2023
developing economies,er,weo_2023
developing economies,et,weo_2023
developing economies,ga,weo_2023
developing economies,gh,weo_2023
developing economies,ke,weo_2023
developing economies,mu,weo_2023
developing economies,mz,weo_2023
developing economies,na,weo_2023
developing economies,ne,weo_2023
developing economies,ng,weo_2023
developing economies,sn,weo_2023
developing economies,za,weo_2023
developing economies,ss,weo_2023
developing economies,sd,weo_2023
developing economies,tz,weo_2023
developing economies,tg,weo_2023
developing economies,zm,weo_2023
developing economies,zw,weo_2023
developing economies,bd,weo_2023
developing economies,cn,weo_2023
developing economies,in,weo_2023
developing economies,mn,weo_2023
developing economies,np,weo_2023
developing economies,pk,weo_2023
developing economies,lk,weo_2023
developing economies,tw,weo_2023
developing economies,bn,weo_2023
developing economies,kh,weo_2023
developing economies,id,weo_2023
developing economies,la,weo_2023
developing economies,my,weo_2023
developing economies,mm,weo_2023
developing economies,ph,weo_2023
developing economies,sg,weo_2023
developing economies,th,weo_2023
developing economies,vn,weo_2023
developing economies,af,weo_2023
developing economies,bt,weo_2023
developing economies,ck,weo_2023
developing economies,fj,weo_2023
developing economies,pf,weo_2023
developing economies,ki,weo_2023
developing economies,mo,weo_2023
developing economies,mv,weo_2023
developing economies,nc,weo_2023
developing economies,pw,weo_2023
developing economies,pg,weo_2023
developing economies,ws,weo_2023
developing economies,sb,weo_2023
developing economies,tl,weo_2023
developing economies,to,weo_2023
developing economies,vu,weo_2023
developing economies,am,weo_2023
developing economies,az,weo_2023
developing economies,ge,weo_2023
developing economies,kz,weo_2023
developing economies,kg,weo_2023
developing economies,tj,weo_2023
developing economies,tm,weo_2023
developing economies,uz,weo_2023
developing economies,ar,weo_2023
developing economies,bo,weo_2023
developing economies,br,weo_2023
developing economies,cu,weo_2023
developing economies,cw,weo_2023
developing economies,do,weo_2023
developing economies,ec,weo_2023
developing economies,sv,weo_2023
developing economies,gt,weo_2023
developing economies,ht,weo_2023
developing economies,hn,weo_2023
developing economies,jm,weo_2023
developing economies,ni,weo_2023
developing economies,pa,weo_2023
developing economies,py,weo_2023
developing economies,pe,weo_2023
developing economies,sr,weo_2023
developing economies,tt,weo_2023
developing economies,uy,weo_2023
developing economies,ve,weo_2023
developing economies,ai,weo_2023
developing economies,ag,weo_2023
developing economies,aw,weo_2023
developing economies,bs,weo_2023
developing economies,bb,weo_2023
developing economies,bz,weo_2023
developing economies,bm,weo_2023
developing economies,bq,weo_2023
developing economies,vg,weo_2023
developing economies,ky,weo_2023
developing economies,dm,weo_2023
developing economies,fk,weo_2023
developing economies,gf,weo_2023
developing economies,gd,weo_2023
developing economies,gp,weo_2023
developing economies,gy,weo_2023
developing economies,mq,weo_2023
developing economies,ms,weo_2023
developing economies,lc,weo_2023
developing economies,pm,weo_2023
developing economies,vc,weo_2023
developing economies,mf,weo_2023
developing economies,tc,weo_2023
developing economies,hk,weo_2023
developing economies,ru,weo_2023
developing economies,al,weo_2023
developing economies,by,weo_2023
developing economies,ba,weo_2023
developing economies,mk,weo_2023
developing economies,gi,weo_2023
developing economies,xk,weo_2023
developing economies,me,weo_2023
developing economies,rs,weo_2023
developing economies,md,weo_2023
developing economies,ua,weo_2023
developing economies,bh,weo_2023
developing economies,ir,weo_2023
developing economies,iq,weo_2023
developing economies,jo,weo_2023
developing economies,kw,weo_2023
developing economies,lb,weo_2023
developing economies,om,weo_2023
developing economies,qa,weo_2023
developing economies,sa,weo_2023
developing economies,sy,weo_2023
developing economies,ae,weo_2023
developing economies,ye,weo_2023
developing economies,gq,weo_2023
developing economies,bf,weo_2023
developing economies,bi,weo_2023
developing economies,cv,weo_2023
developing economies,cf,weo_2023
developing economies,td,weo_2023
developing economies,km,weo_2023
developing economies,dj,weo_2023
developing economies,gm,weo_2023
developing economies,gn,weo_2023
developing economies,gw,weo_2023
developing economies,ls,weo_2023
developing economies,lr,weo_2023
developing economies,mg,weo_2023
developing economies,mw,weo_2023
developing economies,ml,weo_2023
developing economies,mr,weo_2023
developing economies,re,weo_2023
developing economies,rw,weo_2023
developing economies,st,weo_2023
developing economies,sc,weo_2023
developing economies,sl,weo_2023
developing economies,so,weo_2023
developing economies,ug,weo_2023
non oecd,bg,weo_2023
non oecd,hr,weo_2023
non oecd,cy,weo_2023
non oecd,mt,weo_2023
non oecd,ro,weo_2023
non oecd,dz,weo_2023
non oecd,eg,weo_2023
non oecd,ly,weo_2023
non oecd,ma,weo_2023
non oecd,tn,weo_2023
non oecd,ao,weo_2023
non oecd,bj,weo_2023
non oecd,bw,weo_2023
non oecd,cm,weo_2023
non oecd,cg,weo_2023
non oecd,ci,weo_2023
non oecd,cd,weo_2023
non oecd,er,weo_2023
non oecd,et,weo_2023
non oecd,ga,weo_2023
