region,value,type,source
global,sy,country_name,isf_2020
global,ae,country_name,isf_2020
global,ye,country_name,isf_2020
global,gq,country_name,isf_2020
global,bf,country_name,isf_2020
global,bi,country_name,isf_2020
global,cv,country_name,isf_2020
global,cf,country_name,isf_2020
global,td,country_name,isf_2020
global,km,country_name,isf_2020
global,dj,country_name,isf_2020
global,gm,country_name,isf_2020
global,gn,country_name,isf_2020
global,gw,country_name,isf_2020
global,ls,country_name,isf_2020
global,lr,country_name,isf_2020
global,mg,country_name,isf_2020
global,mw,country_name,isf_2020
global,ml,country_name,isf_2020
global,mr,country_name,isf_2020
global,re,country_name,isf_2020
global,rw,country_name,isf_2020
global,st,country_name,isf_2020
global,sc,country_name,isf_2020
global,sl,country_name,isf_2020
global,so,country_name,isf_2020
global,ug,country_name,isf_2020
global,ad,country_name,isf_2020
global,as,country_name,isf_2020
global,bl,country_name,isf_2020
global,fm,country_name,isf_2020
global,fo,country_name,isf_2020
global,gg,country_name,isf_2020
global,gl,country_name,isf_2020
global,gu,country_name,isf_2020
global,im,country_name,isf_2020
global,je,country_name,isf_2020
global,kn,country_name,isf_2020
global,kr,country_name,isf_2020
global,mh,country_name,isf_2020
global,mp,country_name,isf_2020
global,nr,country_name,isf_2020
global,pr,country_name,isf_2020
global,sh,country_name,isf_2020
global,sm,country_name,isf_2020
global,sx,country_name,isf_2020
global,sz,country_name,isf_2020
global,tv,country_name,isf_2020
global,vi,country_name,isf_2020
global,wf,country_name,isf_2020
global,yt,country_name,isf_2020
global,na,country_name,isf_2020
latin america,ar,country_name,isf_2020
latin america,cl,country_name,isf_2020
latin america,uy,country_name,isf_2020
latin america,br,country_name,isf_2020
latin america,py,country_name,isf_2020
latin america,bo,country_name,isf_2020
latin america,pe,country_name,isf_2020
latin america,ec,country_name,isf_2020
latin america,co,country_name,isf_2020
latin america,ve,country_name,isf_2020
latin america,ni,country_name,isf_2020
latin america,gt,country_name,isf_2020
latin america,cu,country_name,isf_2020
latin america,hn,country_name,isf_2020
latin america,bz,country_name,isf_2020
latin america,sv,country_name,isf_2020
latin america,pa,country_name,isf_2020
latin america,gd,country_name,isf_2020
latin america,tt,country_name,isf_2020
latin america,bb,country_name,isf_2020
latin america,jm,country_name,isf_2020
latin america,cr,country_name,isf_2020
latin america,sr,country_name,isf_2020
latin america,gy,country_name,isf_2020
latin america,ms,country_name,isf_2020
latin america,ht,country_name,isf_2020
latin america,bs,country_name,isf_2020
latin america,cw,country_name,isf_2020
latin america,ai,country_name,isf_2020
latin america,ag,country_name,isf_2020
latin america,aw,country_name,isf_2020
latin america,bz,country_name,isf_2020
latin america,bm,country_name,isf_2020
latin america,ky,country_name,isf_2020
latin america,fk,country_name,isf_2020
latin america,gf,country_name,isf_2020
latin america,gp,country_name,isf_2020
latin america,mq,country_name,isf_2020
latin america,bq,country_name,isf_2020
latin america,kn,country_name,isf_2020
latin america,lc,country_name,isf_2020
latin america,pm,country_name,isf_2020
latin america,vc,country_name,isf_2020
latin america,mf,country_name,isf_2020
latin america,sx,country_name,isf_2020
india,in,country_name,isf_2020
china,cn,country_name,isf_2020
china,tw,country_name,isf_2020
africa,dz,country_name,isf_2020
africa,eg,country_name,isf_2020
africa,ly,country_name,isf_2020
africa,ma,country_name,isf_2020
africa,tn,country_name,isf_2020
africa,ao,country_name,isf_2020
africa,bj,country_name,isf_2020
africa,bw,country_name,isf_2020
africa,cm,country_name,isf_2020
africa,cg,country_name,isf_2020
africa,ci,country_name,isf_2020
africa,cd,country_name,isf_2020
africa,er,country_name,isf_2020
africa,et,country_name,isf_2020
africa,ga,country_name,isf_2020
africa,gh,country_name,isf_2020
africa,ke,country_name,isf_2020
africa,mu,country_name,isf_2020
africa,mz,country_name,isf_2020
africa,na,country_name,isf_2020
africa,ne,country_name,isf_2020
africa,ng,country_name,isf_2020
africa,sn,country_name,isf_2020
africa,za,country_name,isf_2020
africa,ss,country_name,isf_2020
africa,sd,country_name,isf_2020
africa,tz,country_name,isf_2020
africa,tg,country_name,isf_2020
africa,zm,country_name,isf_2020
africa,zw,country_name,isf_2020
africa,bf,country_name,isf_2020
africa,bi,country_name,isf_2020
africa,cv,country_name,isf_2020
africa,cf,country_name,isf_2020
africa,td,country_name,isf_2020
africa,km,country_name,isf_2020
africa,dj,country_name,isf_2020
africa,gm,country_name,isf_2020
africa,gn,country_name,isf_2020
