region,value,type,source
russia,ru,country_name,geco_2020
others balkans,al,country_name,geco_2020
others balkans,ba,country_name,geco_2020
others balkans,rs,country_name,geco_2020
others balkans,mk,country_name,geco_2020
others balkans,md,country_name,geco_2020
others balkans,me,country_name,geco_2020
others balkans,rs,country_name,geco_2020
other cis,am,country_name,geco_2020
other cis,az,country_name,geco_2020
other cis,by,country_name,geco_2020
other cis,ge,country_name,geco_2020
other cis,kz,country_name,geco_2020
other cis,kg,country_name,geco_2020
other cis,tj,country_name,geco_2020
other cis,tm,country_name,geco_2020
other cis,uz,country_name,geco_2020
ukraine,ua,country_name,geco_2020
argentina,ar,country_name,geco_2020
brazil,br,country_name,geco_2020
canada,ca,country_name,geco_2020
chile,cl,country_name,geco_2020
mexico,mx,country_name,geco_2020
united states,us,country_name,geco_2020
rest central america,bs,country_name,geco_2020
rest central america,bb,country_name,geco_2020
rest central america,bz,country_name,geco_2020
rest central america,bm,country_name,geco_2020
rest central america,cr,country_name,geco_2020
rest central america,cu,country_name,geco_2020
rest central america,dm,country_name,geco_2020
rest central america,do,country_name,geco_2020
rest central america,sv,country_name,geco_2020
rest central america,gd,country_name,geco_2020
rest central america,gt,country_name,geco_2020
rest central america,ht,country_name,geco_2020
rest central america,hn,country_name,geco_2020
rest central america,jm,country_name,geco_2020
rest central america,ni,country_name,geco_2020
rest central america,aw,country_name,geco_2020
rest central america,pa,country_name,geco_2020
rest central america,st,country_name,geco_2020
rest central america,lc,country_name,geco_2020
rest central america,vc,country_name,geco_2020
rest central america,tt,country_name,geco_2020
rest south america,bo,country_name,geco_2020
rest south america,co,country_name,geco_2020
rest south america,ec,country_name,geco_2020
rest south america,gy,country_name,geco_2020
rest south america,py,country_name,geco_2020
rest south america,pe,country_name,geco_2020
rest south america,sr,country_name,geco_2020
rest south america,uy,country_name,geco_2020
rest south america,ve,country_name,geco_2020
egypt,eg,country_name,geco_2020
algeria and libya,dz,country_name,geco_2020
algeria and libya,ly,country_name,geco_2020
morocco and tunisia,ma,country_name,geco_2020
