"","original_code","code_level","code","sector","borderline"
"86","Duck egg production",5,1482,"not in scope",FALSE
"87","Quail egg production",5,1483,"not in scope",FALSE
"88","Production of eggs, n.e.c.",5,1489,"not in scope",FALSE
"89","Sericulture (silkworm culture for the production of cocoon)",5,1491,"not in scope",FALSE
"90","Apiary (bee culture for the production of honey)",5,1492,"not in scope",FALSE
"91","Vermiculture",5,1493,"not in scope",FALSE
"92","Crocodile/alligator farming",5,1494,"not in scope",FALSE
"93","Rabbit farming",5,1495,"not in scope",FALSE
"94","Raising of semi-domesticated or wild animals including birds, reptiles, insects (e.g. butterfly) and turtles",5,1496,"not in scope",FALSE
"95","Raising and breeding of cats and dogs",5,1497,"not in scope",FALSE
"96","Game propagation and breeding activities",5,1498,"not in scope",FALSE
"97","Raising of other animals, n.e.c.",5,1499,"not in scope",FALSE
"98","Operation of irrigation systems through cooperatives",5,1511,"not in scope",FALSE
"99","Operation of irrigation systems through non-cooperatives",5,1512,"not in scope",FALSE
"100","Planting, transplanting and other related activities",5,1520,"not in scope",FALSE
"101","Plowing, seeding, weeding, thinning, pruning and similar services",5,1531,"not in scope",FALSE
"102","Fertilizer applications",5,1532,"not in scope",FALSE
"103","Chemical and mechanical weed control, disease and pest control services",5,1533,"not in scope",FALSE
"104","Services to establish crops, promote their growth and protect them from pests and diseases, n.e.c.",5,1534,"not in scope",FALSE
"105","Harvesting, threshing, grading, bailing and related services",5,1540,"not in scope",FALSE
"106","Rental of farm machinery with drivers and crew",5,1550,"not in scope",FALSE
"107","Artificial insemination services",5,1561,"not in scope",FALSE
"108","Contract animal growing services on a fee basis",5,1562,"not in scope",FALSE
"109","Egg-hatching, sex determination and other poultry services",5,1563,"not in scope",FALSE
"110","Services to promote propagation, growth and output of animals",5,1564,"not in scope",FALSE
"111","Farm management services",5,1565,"not in scope",FALSE
"112","Other support activities for animal production, n.e.c.",5,1569,"not in scope",FALSE
"113","Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting",5,1571,"not in scope",FALSE
"114","Cotton ginning",5,1572,"not in scope",FALSE
"115","Preparation of tobacco leaves",5,1573,"not in scope",FALSE
"116","Preparation of coffee, cacao and cocoa beans",5,1574,"not in scope",FALSE
"117","Growing of paddy rice for seed purposes",5,1581,"not in scope",FALSE
"118","Growing of seedlings for reforestation",5,1582,"not in scope",FALSE
"119","Hunting and trapping wild animals in the forest",5,1701,"not in scope",FALSE
"120","Production of reptile skins or bird skins and other animal skins from hunting activities",5,1702,"not in scope",FALSE
"121","Hunting, trapping and other related activities, n.e.c.",5,1709,"not in scope",FALSE
