"","original_code","code_level","code","sector","borderline"
"366","Manufacture of organic acids and organic  compounds",5,20117,"not in scope",FALSE
"367","Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",5,20119,"not in scope",FALSE
"368","Manufacture of fertilizers and nitrogen compounds",5,20120,"not in scope",FALSE
"369","Manufacture of synthetic rubber and factice derived from oils, in primary forms",5,20131,"not in scope",FALSE
"370","Production   of  mixtures  of  synthetic rubber and natural rubber or rubber-like gums (e.g., balata), in primary forms",5,20132,"not in scope",FALSE
"371","Manufacture of plastic synthetic resins",5,20133,"not in scope",FALSE
"372","Manufacture of plastic materials except man-made fiber and glass fiber",5,20134,"not in scope",FALSE
"373","Manufacture of pesticides and other agro-chemical products",5,20210,"not in scope",FALSE
"374","Manufacture of paints",5,20221,"not in scope",FALSE
"375","Manufacture of varnishes, lacquers, shellac and stains",5,20222,"not in scope",FALSE
"376","Manufacture of paint removers, thinners, and brush cleaners",5,20223,"not in scope",FALSE
"377","Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters",5,20224,"not in scope",FALSE
"378","Manufacture of printing ink",5,20225,"not in scope",FALSE
"379","Manufacture of paint products, n.e.c.",5,20229,"not in scope",FALSE
"380","Manufacture of soap and detergents",5,20231,"not in scope",FALSE
"381","Manufacture of cleaning preparations, except soap and detergents",5,20232,"not in scope",FALSE
"382","Manufacture of waxes and polishing preparations",5,20233,"not in scope",FALSE
"383","Manufacture of perfumes, cosmetics and other toilet preparations",5,20234,"not in scope",FALSE
"384","Manufacture of explosives, fireworks and firecrakers",5,20291,"not in scope",FALSE
"385","Manufacture of matches",5,20292,"not in scope",FALSE
"386","Manufacture of writing and drawing ink",5,20293,"not in scope",FALSE
"387","Manufacture of glues and adhesives",5,20294,"not in scope",FALSE
"388","Manufacture of activated carbon",5,20295,"not in scope",FALSE
"389","Manufacture of miscellaneous chemical products, n.e.c.",5,20299,"not in scope",FALSE
"390","Manufacture of synthetic or artificial filament yarn",5,20301,"not in scope",FALSE
"391","Manufacture of man-made filament tow or staple fibers, except glass fiber",5,20302,"not in scope",FALSE
"392","Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",5,21001,"not in scope",FALSE
"393","Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",5,21002,"not in scope",FALSE
"394","Manufacture of rubber tires (including parts) and tubes",5,22111,"not in scope",FALSE
"395","Retreading and rebuilding of tires",5,22112,"not in scope",FALSE
"396","Manufacture of rubber garments",5,22191,"not in scope",FALSE
"397","Manufacture of industrial and other molded rubber products, excluding tires and tubes",5,22192,"not in scope",FALSE
"398","Manufacture  of  other  rubber products, n.e.c.",5,22199,"not in scope",FALSE
"399","Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",5,22201,"not in scope",FALSE
"400","Manufacture of plastic household wares",5,22202,"not in scope",FALSE
"401","Manufacture of plastic furniture fittings",5,22203,"not in scope",FALSE
"402","Manufacture of plastic pipes and tubes",5,22204,"not in scope",FALSE
"403","Manufacture of other plastic, industrial /office/school supplies",5,22205,"not in scope",FALSE
"404","Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",5,22206,"not in scope",FALSE
"405","Manufacture of linoleum and hard surface floor coverings",5,22207,"not in scope",FALSE
"406","Manufacture of plastic window and doorscreen, shades and venetian blinds",5,22208,"not in scope",FALSE
"407","Manufacture of plastics products, n.e.c.",5,22209,"not in scope",FALSE
"408","Manufacture of flat glass (including float glass)",5,23101,"not in scope",FALSE
"409","Manufacture of glass containers",5,23102,"not in scope",FALSE
"410","Manufacture of glass fibers (including glass wool) and yarn of glass fibers",5,23103,"not in scope",FALSE
"411","Manufacture of glass and glass products, n.e.c.",5,23109,"not in scope",FALSE
"412","Manufacture of refractory products",5,23910,"not in scope",FALSE
"413","Manufacture of clay building materials",5,23920,"not in scope",FALSE
"414","Manufacture of vitreous china tableware and other kitchen articles of a kind commonly used for domestic or toilet purposes",5,23931,"not in scope",FALSE
"415","Manufacture of articles of porcelain or china, stoneware, earthenware, imitation porcelain or common pottery",5,23932,"not in scope",FALSE
"416","Manufacture of coarse clay products",5,23933,"not in scope",FALSE
"417","Manufacture of sanitary ware, vitreous china plumbing fittings and fixtures",5,23934,"not in scope",FALSE
"418","Manufacture of other porcelain and ceramic products, n.e.c.",5,23939,"not in scope",FALSE
"419","Manufacture of cement",5,23940,"cement",FALSE
"420","Manufacture of lime",5,23951,"not in scope",FALSE
"421","Manufacture of plaster",5,23952,"not in scope",FALSE
"422","Manufacture of structural concrete products",5,23961,"not in scope",FALSE
"423","Manufacture of articles of concrete, cement and plaster, n.e.c.",5,23969,"cement",FALSE
"424","Cutting, shaping and finishing of stone",5,23970,"not in scope",FALSE
"425","Manufacture of asphalt products",5,23991,"not in scope",FALSE
"426","Manufacture of asbestos products",5,23992,"not in scope",FALSE
"427","Manufacture of marble products",5,23993,"not in scope",FALSE
"428","Manufacture of abrasive products",5,23994,"not in scope",FALSE
"429","Manufacture of miscellaneous non-metallic mineral products, n.e.c.",5,23999,"not in scope",FALSE
"430","Operation of blast furnaces and steel making furnaces",5,24110,"steel",FALSE
"431","Operation of rolling mills",5,24121,"not in scope",FALSE
"432","Pipes and tubes manufacturing, iron or steel",5,24122,"not in scope",FALSE
"433","Manufacture of pipe fittings of iron or steel",5,24123,"not in scope",FALSE
"434","Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works of rolling mills",5,24124,"not in scope",FALSE
"435","Operation of steel works and rolling mills, n.e.c.",5,24129,"not in scope",FALSE
"436","Gold and other precious metal refining",5,24210,"not in scope",FALSE
"437","Non-ferrous smelting and refining , except precious metals",5,24220,"not in scope",FALSE
"438","Non-ferrous rolling, drawing and extrusion mills",5,24230,"not in scope",FALSE
"439","Manufacture of pipe fittings of non-ferrous metals",5,24240,"not in scope",FALSE
"440","Manufacture of basic precious and other non-ferrous metals, n.e.c.",5,24290,"not in scope",FALSE
"441","Casting/foundry of iron",5,24311,"not in scope",FALSE
"442","Casting/foundry of steel",5,24312,"steel",FALSE
"443","Aluminum and aluminum base alloy casting",5,24321,"not in scope",FALSE
"444","Copper and copper base alloy (brass, bronze) casting",5,24322,"not in scope",FALSE
"445","Zinc and zinc alloy casting",5,24323,"not in scope",FALSE
"446","Casting of non-ferrous metal, n.e.c.",5,24329,"not in scope",FALSE
"447","Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",5,25111,"not in scope",FALSE
"448","Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",5,25112,"not in scope",FALSE
"449","Manufacture of  structural metal products, n.e.c.",5,25119,"not in scope",FALSE
"450","Manufacture of tanks, reservoirs and containers of metal",5,25120,"not in scope",FALSE
"451","Manufacture of steam generators, except central heating hot water boilers",5,25130,"not in scope",FALSE
"452","Manufacture of small arms and accessories",5,25201,"not in scope",FALSE
"453","Manufacture of weapons and ammunitions, n.e.c.",5,25209,"not in scope",FALSE
"454","Forging, pressing, stamping and roll-forming of metal products",5,25911,"not in scope",FALSE
"455","Powder metallurgy",5,25912,"not in scope",FALSE
"456","Treatment and coating of metals; machining",5,25920,"not in scope",FALSE
"457","Manufacture of cutlery",5,25931,"not in scope",FALSE
"458","Manufacture of handtools",5,25932,"not in scope",FALSE
"459","Manufacture of general hardware",5,25933,"not in scope",FALSE
"460","Manufacture of blacksmithing tools and welding shop operation",5,25934,"not in scope",FALSE
"461","Manufacture of metal containers used for the packing or conveyance of goods",5,25991,"not in scope",FALSE
"462","Manufacture of wire nails, not in steel rolling",5,25992,"not in scope",FALSE
"463","Manufacture of fabricated wire products",5,25993,"not in scope",FALSE
"464","Manufacture of small hand-operated kitchen appliances",5,25994,"not in scope",FALSE
"465","Manufacture of metal sanitary ware and plumbing fixtures",5,25995,"not in scope",FALSE
"466","Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",5,25996,"not in scope",FALSE
"467","Manufacture of aluminum window and door screens, shades and venetian blinds",5,25997,"not in scope",FALSE
"468","Manufacture of miscellaneous fabricated metal products, n.e.c.",5,25999,"not in scope",FALSE
"469","Manufacture of electronic valves and tubes",5,26110,"not in scope",FALSE
"470","Manufacture of semi-conductor  devices and other electronic components",5,26120,"not in scope",FALSE
"471","Manufacture of computers and peripheral equipment and accessories",5,26200,"not in scope",FALSE
"472","Manufacture of communication equipment",5,26300,"not in scope",FALSE
"473","Manufacture of consumer electronics",5,26400,"not in scope",FALSE
"474","Manufacture of radar equipment, radio remote control apparatus",5,26511,"not in scope",FALSE
"475","Manufacture of electrical quantities measuring and controlling instruments",5,26512,"not in scope",FALSE
"476","Manufacture of temperature measuring and controlling hygrometric instruments",5,26513,"not in scope",FALSE
"477","Manufacture of pressure measuring and controlling instruments and gauges",5,26514,"not in scope",FALSE
"478","Manufacture of flow of liquids or gases measuring and controlling instruments",5,26515,"not in scope",FALSE
"479","Manufacture of mechanical motion, measuring and controlling, timing and cycle instruments",5,26516,"not in scope",FALSE
"480","Manufacture of industrial process control equipment",5,26517,"not in scope",FALSE
"481","Manufacture of professional and scientific and measuring and controlling equipment, n.e.c.",5,26519,"not in scope",FALSE
"482","Manufacture of watches and clocks of all kinds including cases of precious metals",5,26521,"not in scope",FALSE
"483","Manufacture of watch bands and bracelets of precious metals",5,26522,"not in scope",FALSE
"484","Manufacture of other watch and clocks parts, n.e.c.",5,26529,"not in scope",FALSE
"485","Manufacture of X-ray apparatus",5,26601,"not in scope",FALSE
"486","Manufacture of electrotherapeutic apparatus",5,26602,"not in scope",FALSE
"487","Manufacture of medical laser equipment",5,26603,"not in scope",FALSE
"488","Manufacture of Computerized Tomography (CT) scanner, Positron Emission Tomography (PET) scanner",5,26604,"not in scope",FALSE
"489","Manufacture of MRI equipment",5,26605,"not in scope",FALSE
"490","Manufacture of medical ultrasound equipment",5,26606,"not in scope",FALSE
"491","Manufacture of other irradiation, electromedical and electrotherapeutic equipment, n.e.c.",5,26609,"not in scope",FALSE
"492","Manufacture of optical instruments and lenses",5,26701,"not in scope",FALSE
"493","Manufacture of photographic equipment and accessories",5,26702,"not in scope",FALSE
"494","Manufacture of magnetic and optical media",5,26800,"not in scope",FALSE
"495","Manufacture of electric motors and generators",5,27111,"not in scope",FALSE
"496","Manufacture of electrical transformers",5,27112,"not in scope",FALSE
"497","Manufacture  of electric generating sets",5,27113,"not in scope",FALSE
"498","Manufacture of switch gear  and switchboard apparatus",5,27121,"not in scope",FALSE
"499","Manufacture of electricity distribution  equipment",5,27122,"not in scope",FALSE
"500","Manufacture of  switches, fuses, sockets, plugs, conductors and lightning  arresters and other control apparatus",5,27123,"not in scope",FALSE
"501","Manufacture of accumulators (storage batteries) including parts",5,27201,"not in scope",FALSE
"502","Manufacture of primary cells and batteries",5,27202,"not in scope",FALSE
"503","Manufacture of fiber optic cables",5,27310,"not in scope",FALSE
"504","Manufacture of other electronic and electric wires and cables",5,27320,"not in scope",FALSE
"505","Manufacture of wiring devices",5,27330,"not in scope",FALSE
"506","Manufacture of electric lamps fluorescent and fixtures",5,27401,"not in scope",FALSE
"507","Manufacture of lighting equipment and parts except for use on cycle and motor equipment",5,27402,"not in scope",FALSE
"508","Manufacture of motor vehicle lighting equipment",5,27403,"not in scope",FALSE
"509","Manufacture of bicycle lighting equipment",5,27404,"not in scope",FALSE
"510","Manufacture of lighting sets used for Christmas trees and the like",5,27405,"not in scope",FALSE
"511","Manufacture of domestic electric fans",5,27501,"not in scope",FALSE
"512","Manufacture of domestic-type refrigerators and laundry equipment (e.g. clothes washers, washer-dryers, dryers)",5,27502,"not in scope",FALSE
"513","Manufacture of domestic  cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",5,27503,"not in scope",FALSE
"514","Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",5,27504,"not in scope",FALSE
"515","Manufacture of domestic-type water filters and/or purifiers",5,27505,"not in scope",FALSE
"516","Manufacture of domestic appliances, n.e.c.",5,27509,"not in scope",FALSE
"517","Manufacture of battery chargers, solid state",5,27901,"not in scope",FALSE
"518","Manufacture of uninterruptible power supplies (UPS)",5,27902,"not in scope",FALSE
"519","Manufacture of appliance cords, extension cords, and other electrical cord",5,27903,"not in scope",FALSE
"520","Manufacture of accelerators (cyclotrons, betatrons)",5,27904,"not in scope",FALSE
"521","Manufacture of electrical signalling equipment such as traffic lights and pedestrical signalling equipment",5,27905,"not in scope",FALSE
"522","Manufacture of other electrical equipment, n.e.c.",5,27909,"not in scope",FALSE
"523","Manufacture of internal combustion engines (gas and diesel)",5,28111,"not in scope",FALSE
"524","Manufacture of  engines and turbines for marine propulsion",5,28112,"not in scope",FALSE
"525","Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",5,28113,"not in scope",FALSE
"526","Manufacture of engines and turbines, except for transport, n.e.c.",5,28119,"not in scope",FALSE
"527","Manufacture of fluid power equipment",5,28120,"not in scope",FALSE
"528","Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",5,28131,"not in scope",FALSE
"529","Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",5,28132,"not in scope",FALSE
"530","Manufacture of bearings, gears and driving elements",5,28140,"not in scope",FALSE
"531","Manufacture of ovens, furnaces and furnace burners",5,28150,"not in scope",FALSE
"532","Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",5,28161,"not in scope",FALSE
"533","Manufacture of derricks, lifting and handling equipment for contruction and mining",5,28162,"not in scope",FALSE
"534","Manufacture of marine capstans, pulley tackel and hoists, etc.",5,28163,"not in scope",FALSE
"535","Manufacture of other lifting and handling equipment, n.e.c.",5,28169,"not in scope",FALSE
"536","Manufacture of calculating machines, adding machines, cash registers, calculators",5,28171,"not in scope",FALSE
"537","Manufacture of bills/coin counting and coin wrapping machinery",5,28172,"not in scope",FALSE
"538","Manufacture of postage meters, mail handling machines (envelope stuffing, sealing and addressing machinery, opening, sorting, scanning), collating machinery",5,28173,"not in scope",FALSE
"539","Manufacture of typewriters",5,28174,"not in scope",FALSE
"540","Manufacture of duplicating machines",5,28175,"not in scope",FALSE
"541","Manufacture of photo-copying apparatus incorporating an optical system or of the contact type and thermo copying apparatus",5,28176,"not in scope",FALSE
"542","Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",5,28179,"not in scope",FALSE
"543","Manufacture of power-driven hand tools",5,28180,"not in scope",FALSE
"544","Manufacture of weighing machines except scientific weighing apparatus used for laboratories",5,28191,"not in scope",FALSE
"545","Manufacture of refrigerating or freezing equipment for commercial purposes",5,28192,"not in scope",FALSE
"546","Manufacture of unit air-conditioners",5,28193,"not in scope",FALSE
"547","Manufacture of packing and wrapping machinery",5,28194,"not in scope",FALSE
"548","Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages",5,28195,"not in scope",FALSE
"549","Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",5,28196,"not in scope",FALSE
"550","Manufacture of calendering or other rolling machines other than for metals or glass",5,28197,"not in scope",FALSE
"551","Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",5,28199,"not in scope",FALSE
"552","Manufacture of farm tractors",5,28211,"not in scope",FALSE
"553","Manufacture of mechanical implements for crop production",5,28212,"not in scope",FALSE
"554","Manufacture of animal husbandry machinery and equipment",5,28213,"not in scope",FALSE
"555","Manufacture of agricultural and forestry machinery and equipment, n.e.c.",5,28219,"not in scope",FALSE
"556","Manufacture of machine tools for working metal",5,28221,"not in scope",FALSE
"557","Manufacture of machine tools and accessories including precision measuring tools",5,28222,"not in scope",FALSE
"558","Parts and accessories for the machine tools classified in this group",5,28223,"not in scope",FALSE
"559","Manufacture of apparatus for electroplating, electrolysis and electrophoresis",5,28224,"not in scope",FALSE
"560","Manufacture of metal-forming machinery and machine tools, n.e.c.",5,28229,"not in scope",FALSE
"561","Manufacture of machinery for metallurgy",5,28230,"not in scope",FALSE
"562","Manufacture of heavy machinery and equipment used for mining and quarrying",5,28241,"not in scope",FALSE
"563","Manufacture of heavy machinery and equipment used for construction",5,28242,"not in scope",FALSE
"564","Manufacture of machinery for food processing",5,28251,"not in scope",FALSE
"565","Manufacture of presses, crushers and similar machinery used to make wine, cider, fruit juices or similar beverages",5,28252,"not in scope",FALSE
"566","Manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or pipe or chewing tobacco or snuff",5,28253,"not in scope",FALSE
"567","Manufacture of textile machinery",5,28261,"not in scope",FALSE
"568","Manufacture of machineries for man-made textile fibers or yarns",5,28262,"not in scope",FALSE
"569","Manufacture of sewing machines",5,28263,"not in scope",FALSE
"570","Manufacture of washing, laundry, dry-cleaning and pressing machines",5,28264,"not in scope",FALSE
"571","Manufacture of needles for knitting, sewing machines",5,28265,"not in scope",FALSE
"572","Manufacture of machinery for textile apparel and leather production, n.e.c.",5,28269,"not in scope",FALSE
"573","Manufacture of machinery for pulp, paper and paperboard industries",5,28291,"not in scope",FALSE
"574","Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials",5,28292,"not in scope",FALSE
"575","Manufacture of printing-trade machinery and equipment",5,28293,"not in scope",FALSE
"576","Manufacture of machinery for producing tiles, bricks, shaped ceramic pastes, pipes, graphite, electrodes, blackboard chalk, foundry molds, etc.",5,28294,"not in scope",FALSE
"577","Manufacture of machines for production or hot-working of glass; glassware or yarn",5,28295,"not in scope",FALSE
"578","Manufacture of centrifugal clothes driers",5,28296,"not in scope",FALSE
"579","Manufacture of other special-purpose machinery, n.e.c.",5,28299,"not in scope",FALSE
"580","Manufacture of motor vehicles",5,29100,"ldv",FALSE
"581","Manufacture of bodies (coachwork) for motor vehicles",5,29201,"not in scope",FALSE
"582","Manufacture of trailers and semi-trailers",5,29202,"not in scope",FALSE
"583","Manufacture of electric ignition or starting equipment for internal combustion engines",5,29301,"not in scope",FALSE
"584","Manufacture of parts and accessories for motor vehicles and their engines",5,29302,"not in scope",FALSE
"585","Building of ships and boats other than sports and pleasure boats",5,30111,"not in scope",FALSE
"586","Manufacture of floating or submersible drilling platforms",5,30112,"not in scope",FALSE
"587","Manufacture of inflatable rafts",5,30113,"not in scope",FALSE
"588","Manufacture of metal sections for ships and barges",5,30114,"not in scope",FALSE
"589","Manufacture of inflatable boats",5,30121,"not in scope",FALSE
"590","Manufacture of other pleasure and sporting boats, n.e.c.",5,30129,"not in scope",FALSE
"591","Building and rebuilding of locomotives of any type of gauge, and railroad and tramway cars for freight and passenger service",5,30201,"not in scope",FALSE
"592","Production of specialized parts for locomotives, railroad and tramway",5,30202,"not in scope",FALSE
"593","Manufacture of air and spacecraft and related machinery",5,30300,"not in scope",FALSE
"594","Manufacture of military fighting vehicles",5,30400,"not in scope",FALSE
"595","Manufacture and assembly of motorcycles",5,30911,"not in scope",FALSE
"596","Manufacture of motorcycle engines and parts thereof",5,30912,"not in scope",FALSE
"597","Manufacture of tricycles and parts thereof",5,30913,"not in scope",FALSE
"598","Manufacture of side cars",5,30914,"not in scope",FALSE
"599","Manufacture of parts and accessories of motorcyles",5,30915,"not in scope",FALSE
"600","Manufacture of bicycles and bicycle parts",5,30921,"not in scope",FALSE
"601","Manufacture of invalid carriages, motorized and non-motorized",5,30922,"not in scope",FALSE
"602","Manufacture of baby carriages",5,30923,"not in scope",FALSE
"603","Manufacture of hand-propelled vehicles",5,30991,"not in scope",FALSE
"604","Manufacture of animal drawn vehicles",5,30992,"not in scope",FALSE
"605","Manufacture of wood furniture",5,31010,"not in scope",FALSE
"606","Manufacture of rattan furniture (reed, wicker, and cane)",5,31020,"not in scope",FALSE
"607","Manufacture of box beds and mattresses",5,31030,"not in scope",FALSE
"608","Manufacture of partitions, shelves, lockers and office and store fixtures",5,31040,"not in scope",FALSE
"609","Manufacture of plastic furniture",5,31050,"not in scope",FALSE
"610","Manufacture of furniture and fixtures of metal",5,31060,"not in scope",FALSE
"611","Manufacture of other furniture and fixtures, n.e.c.",5,31090,"not in scope",FALSE
"612","Manufacture of jewelry made of precious and semi-precious stones",5,32111,"not in scope",FALSE
"613","Manufacture of silverware and plated ware",5,32112,"not in scope",FALSE
"614","Manufacture of watchbands and bracelets of precious metals",5,32113,"not in scope",FALSE
"615","Manufacture of articles related to jewelry",5,32119,"not in scope",FALSE
"616","Manufacture of imitation of jewelry and related articles",5,32120,"not in scope",FALSE
"617","Manufacture of guitars",5,32201,"not in scope",FALSE
"618","Manufacture of string instruments, other than guitars",5,32202,"not in scope",FALSE
"619","Manufacture of pianos",5,32203,"not in scope",FALSE
"620","Manufacture of musical organs (all types)",5,32204,"not in scope",FALSE
"621","Manufacture of wind and percussion instruments",5,32205,"not in scope",FALSE
"622","Manufacture of instrument parts and accessories",5,32206,"not in scope",FALSE
"623","Manufacture of musical instruments, n.e.c.",5,32209,"not in scope",FALSE
"624","Manufacture of sporting gloves and mitts",5,32301,"not in scope",FALSE
"625","Manufacture of sporting balls",5,32302,"not in scope",FALSE
"626","Manufacture of sporting and athletic goods, n.e.c.",5,32309,"not in scope",FALSE
"627","Manufacture of dolls and doll garments",5,32401,"not in scope",FALSE
"628","Manufacture of wheeled toys",5,32402,"not in scope",FALSE
"629","Manufacture of billiard, pool, bowling alley and similar games equipment",5,32403,"not in scope",FALSE
"630","Manufacture of electronic games (video games, checkers)",5,32404,"not in scope",FALSE
"631","Manufacture of toys and games, n.e.c.",5,32409,"not in scope",FALSE
"632","Manufacture of medical, surgical, dental furniture and fixtures",5,32501,"not in scope",FALSE
"633","Manufacture of opthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",5,32502,"not in scope",FALSE
"634","Manufacture of prosthetic appliances, artificial teeth made to order",5,32503,"not in scope",FALSE
"635","Manufacture of medical and precision instruments",5,32504,"not in scope",FALSE
"636","Manufacture of temperature measuring and controlling hygrometric instruments",5,32505,"not in scope",FALSE
"637","Manufacture of cement used in dentistry",5,32506,"not in scope",FALSE
"638","Manufacture of other medical and dental instruments and supplies, n.e.c.",5,32509,"not in scope",FALSE
"639","Manufacture of pens and pencils of all kinds",5,32910,"not in scope",FALSE
"640","Manufacture of umbrellas, walking sticks, canes, whips and riding crops",5,32920,"not in scope",FALSE
"641","Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",5,32930,"not in scope",FALSE
"642","Manufacture of candles",5,32940,"not in scope",FALSE
"643","Manufacture of artificial flowers, fruits and foliage",5,32950,"not in scope",FALSE
"644","Manufacture of wooden coffin",5,32961,"not in scope",FALSE
"645","Manufacture of metal coffin",5,32962,"not in scope",FALSE
"646","Manufacture of buttons, except plastic",5,32991,"not in scope",FALSE
"647","Manufacture of brooms, brushes and fans",5,32992,"not in scope",FALSE
"648","Manufacture of identification plates, badges, emblems and tags",5,32993,"not in scope",FALSE
"649","Manufacture of signs and advertising displays",5,32994,"not in scope",FALSE
"650","Manufacture of cigarette lighters",5,32995,"not in scope",FALSE
"651","Manufacture of miscellaneous articles, n.e.c.",5,32999,"not in scope",FALSE
"652","Repair of fabricated metal products",5,33110,"not in scope",FALSE
"653","Repair of machinery",5,33120,"not in scope",FALSE
"654","Repair of electronic and optical equipment",5,33130,"not in scope",FALSE
"655","Repair of electrical equipment",5,33140,"not in scope",FALSE
"656","Repairing of ships and boats other than sports and pleasure boats",5,33151,"not in scope",FALSE
"657","Repairing of sports and pleasure boats",5,33152,"not in scope",FALSE
"658","Repair of transport equipment, except motor vehicles, n.e.c.",5,33159,"not in scope",FALSE
"659","Repair of other equipment",5,33190,"not in scope",FALSE
"660","Installation of industrial machinery and equipment",5,33200,"not in scope",FALSE
"661","Electric power generation, transmission and distribution",5,35100,"power",FALSE
"662","Manufacture of gas; distribution of gaseous fuels through mains",5,35200,"not in scope",FALSE
"663","Water collection, treatment and supply",5,36000,"not in scope",FALSE
"664","Sewerage",5,37000,"not in scope",FALSE
"665","Collection of non-hazardous waste",5,38110,"not in scope",FALSE
"666","Collection of hazardous waste",5,38120,"not in scope",FALSE
"667","Treatment and disposal of non-hazardous waste",5,38210,"not in scope",FALSE
"668","Treatment and disposal of hazardous waste",5,38220,"not in scope",FALSE
"669","Materials recovery",5,38300,"not in scope",FALSE
"670","Remediation activities and other waste management services",5,39000,"not in scope",FALSE
"671","Residential (dwelling) building constructions",5,41001,"not in scope",FALSE
"672","Non-residential building constructions",5,41002,"not in scope",FALSE
"673","Construction of roads and railways",5,42100,"not in scope",FALSE
"674","Construction of utility projects",5,42200,"not in scope",FALSE
"675","Construction of other civil engineering projects",5,42900,"not in scope",FALSE
"676","Demolition",5,43110,"not in scope",FALSE
"677","Site preparation",5,43120,"not in scope",FALSE
"678","Electrical installation",5,43210,"not in scope",FALSE
"679","Plumbing, heat and air-conditioning installation",5,43220,"not in scope",FALSE
"680","Other construction installation",5,43290,"not in scope",FALSE
"681","Painting and related work",5,43301,"not in scope",FALSE
"682","Floor and wall tiling or covering with other material",5,43302,"not in scope",FALSE
"683","Carpentry",5,43303,"not in scope",FALSE
"684","Other building completion and finishing activities",5,43309,"not in scope",FALSE
"685","Other specialized construction activities",5,43900,"not in scope",FALSE
"686","Sale of passenger motor vehicles",5,45101,"not in scope",FALSE
"687","Sale of lorries, trailers and semi-trailers",5,45102,"not in scope",FALSE
"688","Sale of other motor vehicles",5,45109,"not in scope",FALSE
"689","Repair of motor vehicles, including overhauling",5,45201,"not in scope",FALSE
"690","Repair of batteries for motor vehicles",5,45202,"not in scope",FALSE
"691","Vulcanizing or preparing of tires for motor vehicles",5,45203,"not in scope",FALSE
"692","Maintenance of motor vehicles, n.e.c.",5,45209,"not in scope",FALSE
"693","Wholesale of motor vehicles parts and accessories",5,45301,"not in scope",FALSE
"694","Retail sale of motor vehicles parts and accessories",5,45302,"not in scope",FALSE
"695","Wholesale of motor vehicles tires and batteries",5,45303,"not in scope",FALSE
"696","Retail sale of motor vehicles tires and batteries",5,45304,"not in scope",FALSE
"697","Sale of motor vehicle parts and accessories, n.e.c.",5,45309,"not in scope",FALSE
"698","Sale of motorcycles and their parts and components",5,45401,"not in scope",FALSE
"699","Maintenance and repair of motorcycles and their parts and components",5,45402,"not in scope",FALSE
"700","Wholesale on a fee or contract basis, of agricultural raw materials and live animals",5,46101,"not in scope",FALSE
"701","Wholesale on a fee or contract basis, of food, beverages and tobacco",5,46102,"not in scope",FALSE
"702","Wholesale on a fee or contract basis, of textile, clothing, and footwear",5,46103,"not in scope",FALSE
"703","Wholesale on a fee or contract basis, of household appliances, articles and equipment",5,46104,"not in scope",FALSE
"704","Wholesale on a fee or contract basis, of miscellaneous consumer goods",5,46105,"not in scope",FALSE
"705","Wholesale on a fee or contract basis, of construction materials and hardware",5,46106,"not in scope",FALSE
"706","Wholesale on a fee or contract basis, of chemical and pharmaceutical products",5,46107,"not in scope",FALSE
"707","Wholesale on a fee or contract basis, of machinery, equipment and supplies",5,46108,"not in scope",FALSE
"708","Wholesale on a fee or contract basis, of other products",5,46109,"not in scope",FALSE
"709","Wholesale of palay, corn (unmilled) and other grains",5,46201,"not in scope",FALSE
"710","Wholesale of abaca and other fibers, except synthetic fibers",5,46202,"not in scope",FALSE
"711","Wholesale of coconut and coconut by-products",5,46203,"not in scope",FALSE
"712","Wholesale of oleaginous fruits (e.g., oil seeds, palm oil, sunflower seeds, etc.)",5,46204,"not in scope",FALSE
"713","Wholesale of tobacco leaf",5,46205,"not in scope",FALSE
"714","Wholesale of flowers and plants",5,46206,"not in scope",FALSE
"715","Wholesale of livestock and poultry and unprocessed animal products",5,46207,"not in scope",FALSE
"716","Wholesale of fish and other seafoods",5,46208,"not in scope",FALSE
