region,isos,source
advanced economies,bg,weo_2022
advanced economies,hr,weo_2022
advanced economies,cy,weo_2022
advanced economies,mt,weo_2022
advanced economies,ro,weo_2022
advanced economies,au,weo_2022
advanced economies,at,weo_2022
advanced economies,be,weo_2022
advanced economies,ca,weo_2022
advanced economies,cl,weo_2022
advanced economies,cz,weo_2022
advanced economies,dk,weo_2022
advanced economies,ee,weo_2022
advanced economies,fi,weo_2022
advanced economies,fr,weo_2022
advanced economies,de,weo_2022
advanced economies,gr,weo_2022
advanced economies,hu,weo_2022
advanced economies,is,weo_2022
advanced economies,ie,weo_2022
advanced economies,il,weo_2022
advanced economies,it,weo_2022
advanced economies,jp,weo_2022
advanced economies,kp,weo_2022
advanced economies,lv,weo_2022
advanced economies,lt,weo_2022
advanced economies,lu,weo_2022
advanced economies,mx,weo_2022
advanced economies,nl,weo_2022
advanced economies,nz,weo_2022
advanced economies,no,weo_2022
advanced economies,pl,weo_2022
advanced economies,pt,weo_2022
advanced economies,sk,weo_2022
advanced economies,si,weo_2022
advanced economies,es,weo_2022
advanced economies,se,weo_2022
advanced economies,ch,weo_2022
advanced economies,tr,weo_2022
advanced economies,gb,weo_2022
advanced economies,us,weo_2022
africa,dz,weo_2022
africa,eg,weo_2022
africa,ly,weo_2022
africa,ma,weo_2022
africa,tn,weo_2022
africa,ao,weo_2022
africa,bj,weo_2022
africa,bw,weo_2022
africa,cm,weo_2022
africa,cg,weo_2022
africa,ci,weo_2022
africa,cd,weo_2022
africa,er,weo_2022
africa,et,weo_2022
africa,ga,weo_2022
africa,gh,weo_2022
africa,ke,weo_2022
africa,mu,weo_2022
africa,mz,weo_2022
africa,na,weo_2022
africa,ne,weo_2022
africa,ng,weo_2022
africa,sn,weo_2022
africa,za,weo_2022
africa,ss,weo_2022
africa,sd,weo_2022
africa,tz,weo_2022
africa,tg,weo_2022
africa,zm,weo_2022
africa,zw,weo_2022
asia pacific,au,weo_2022
asia pacific,bd,weo_2022
asia pacific,cn,weo_2022
asia pacific,in,weo_2022
asia pacific,jp,weo_2022
asia pacific,kp,weo_2022
asia pacific,mn,weo_2022
asia pacific,np,weo_2022
asia pacific,nz,weo_2022
asia pacific,pk,weo_2022
asia pacific,lk,weo_2022
asia pacific,tw,weo_2022
asia pacific,bn,weo_2022
asia pacific,kh,weo_2022
asia pacific,id,weo_2022
asia pacific,la,weo_2022
asia pacific,my,weo_2022
asia pacific,mm,weo_2022
asia pacific,ph,weo_2022
asia pacific,sg,weo_2022
asia pacific,th,weo_2022
asia pacific,vn,weo_2022
asia pacific,af,weo_2022
asia pacific,bt,weo_2022
asia pacific,ck,weo_2022
asia pacific,fj,weo_2022
asia pacific,pf,weo_2022
asia pacific,ki,weo_2022
asia pacific,mo,weo_2022
asia pacific,mv,weo_2022
asia pacific,nc,weo_2022
asia pacific,pw,weo_2022
asia pacific,pg,weo_2022
asia pacific,ws,weo_2022
asia pacific,sb,weo_2022
asia pacific,tl,weo_2022
asia pacific,to,weo_2022
asia pacific,vu,weo_2022
central and south america,ar,weo_2022
central and south america,bo,weo_2022
central and south america,br,weo_2022
central and south america,cl,weo_2022
central and south america,co,weo_2022
central and south america,cr,weo_2022
central and south america,cu,weo_2022
central and south america,cw,weo_2022
central and south america,do,weo_2022
central and south america,ec,weo_2022
central and south america,sv,weo_2022
central and south america,gt,weo_2022
central and south america,ht,weo_2022
central and south america,hn,weo_2022
central and south america,jm,weo_2022
central and south america,ni,weo_2022
central and south america,pa,weo_2022
central and south america,py,weo_2022
central and south america,pe,weo_2022
central and south america,sr,weo_2022
central and south america,tt,weo_2022
central and south america,uy,weo_2022
central and south america,ve,weo_2022
central and south america,ai,weo_2022
central and south america,ag,weo_2022
central and south america,aw,weo_2022
central and south america,bs,weo_2022
central and south america,bb,weo_2022
central and south america,bz,weo_2022
central and south america,bm,weo_2022
central and south america,bq,weo_2022
central and south america,vg,weo_2022
central and south america,ky,weo_2022
central and south america,dm,weo_2022
central and south america,fk,weo_2022
central and south america,gf,weo_2022
central and south america,gd,weo_2022
central and south america,gp,weo_2022
central and south america,gy,weo_2022
central and south america,mq,weo_2022
central and south america,ms,weo_2022
central and south america,lc,weo_2022
central and south america,pm,weo_2022
central and south america,vc,weo_2022
central and south america,mf,weo_2022
central and south america,tc,weo_2022
china,cn,weo_2022
china,hk,weo_2022
eurasia,ru,weo_2022
eurasia,am,weo_2022
eurasia,az,weo_2022
eurasia,ge,weo_2022
eurasia,kz,weo_2022
eurasia,kg,weo_2022
eurasia,tj,weo_2022
eurasia,tm,weo_2022
eurasia,uz,weo_2022
europe,al,weo_2022
europe,by,weo_2022
europe,ba,weo_2022
europe,mk,weo_2022
europe,gi,weo_2022
europe,is,weo_2022
europe,il,weo_2022
europe,xk,weo_2022
europe,me,weo_2022
europe,no,weo_2022
europe,rs,weo_2022
europe,ch,weo_2022
europe,md,weo_2022
europe,tr,weo_2022
europe,ua,weo_2022
europe,at,weo_2022
europe,be,weo_2022
europe,bg,weo_2022
europe,hr,weo_2022
europe,cy,weo_2022
