region,value,type,source
developing asia,mm,country_name,weo_2020
developing asia,ph,country_name,weo_2020
developing asia,sg,country_name,weo_2020
developing asia,th,country_name,weo_2020
developing asia,vn,country_name,weo_2020
developing asia,af,country_name,weo_2020
developing asia,bt,country_name,weo_2020
developing asia,ck,country_name,weo_2020
developing asia,fj,country_name,weo_2020
developing asia,pf,country_name,weo_2020
developing asia,ki,country_name,weo_2020
developing asia,mo,country_name,weo_2020
developing asia,mv,country_name,weo_2020
developing asia,nc,country_name,weo_2020
developing asia,pw,country_name,weo_2020
developing asia,pg,country_name,weo_2020
developing asia,ws,country_name,weo_2020
developing asia,sb,country_name,weo_2020
developing asia,tl,country_name,weo_2020
developing asia,to,country_name,weo_2020
developing asia,vu,country_name,weo_2020
eurasia,ru,country_name,weo_2020
eurasia,am,country_name,weo_2020
eurasia,az,country_name,weo_2020
eurasia,ge,country_name,weo_2020
eurasia,kz,country_name,weo_2020
eurasia,kg,country_name,weo_2020
eurasia,tj,country_name,weo_2020
eurasia,tm,country_name,weo_2020
eurasia,uz,country_name,weo_2020
europe,al,country_name,weo_2020
europe,by,country_name,weo_2020
europe,ba,country_name,weo_2020
europe,mk,country_name,weo_2020
europe,gi,country_name,weo_2020
europe,is,country_name,weo_2020
europe,il,country_name,weo_2020
europe,xk,country_name,weo_2020
europe,me,country_name,weo_2020
europe,no,country_name,weo_2020
europe,rs,country_name,weo_2020
europe,ch,country_name,weo_2020
europe,md,country_name,weo_2020
europe,tr,country_name,weo_2020
europe,ua,country_name,weo_2020
europe,at,country_name,weo_2020
europe,be,country_name,weo_2020
europe,bg,country_name,weo_2020
europe,hr,country_name,weo_2020
europe,cy,country_name,weo_2020
europe,cz,country_name,weo_2020
europe,dk,country_name,weo_2020
europe,ee,country_name,weo_2020
europe,fi,country_name,weo_2020
europe,fr,country_name,weo_2020
europe,de,country_name,weo_2020
europe,gr,country_name,weo_2020
europe,hu,country_name,weo_2020
europe,ie,country_name,weo_2020
europe,it,country_name,weo_2020
europe,lv,country_name,weo_2020
europe,lt,country_name,weo_2020
europe,lu,country_name,weo_2020
europe,mt,country_name,weo_2020
europe,nl,country_name,weo_2020
europe,pl,country_name,weo_2020
europe,pt,country_name,weo_2020
europe,ro,country_name,weo_2020
europe,sk,country_name,weo_2020
europe,si,country_name,weo_2020
europe,es,country_name,weo_2020
europe,se,country_name,weo_2020
europe,gb,country_name,weo_2020
european union,at,country_name,weo_2020
european union,be,country_name,weo_2020
european union,bg,country_name,weo_2020
european union,hr,country_name,weo_2020
european union,cy,country_name,weo_2020
european union,cz,country_name,weo_2020
european union,dk,country_name,weo_2020
european union,ee,country_name,weo_2020
european union,fi,country_name,weo_2020
european union,fr,country_name,weo_2020
european union,de,country_name,weo_2020
european union,gr,country_name,weo_2020
european union,hu,country_name,weo_2020
european union,ie,country_name,weo_2020
european union,it,country_name,weo_2020
european union,lv,country_name,weo_2020
european union,lt,country_name,weo_2020
european union,lu,country_name,weo_2020
european union,mt,country_name,weo_2020
european union,nl,country_name,weo_2020
european union,pl,country_name,weo_2020
european union,pt,country_name,weo_2020
european union,ro,country_name,weo_2020
european union,sk,country_name,weo_2020
european union,si,country_name,weo_2020
european union,es,country_name,weo_2020
european union,se,country_name,weo_2020
latin america,mx,country_name,weo_2020
latin america,ar,country_name,weo_2020
latin america,bo,country_name,weo_2020
latin america,br,country_name,weo_2020
latin america,cl,country_name,weo_2020
latin america,co,country_name,weo_2020
latin america,cr,country_name,weo_2020
latin america,cu,country_name,weo_2020
latin america,cw,country_name,weo_2020
latin america,do,country_name,weo_2020
latin america,ec,country_name,weo_2020
latin america,sv,country_name,weo_2020
latin america,gt,country_name,weo_2020
latin america,ht,country_name,weo_2020
latin america,hn,country_name,weo_2020
latin america,jm,country_name,weo_2020
latin america,ni,country_name,weo_2020
latin america,pa,country_name,weo_2020
latin america,py,country_name,weo_2020
latin america,pe,country_name,weo_2020
latin america,sr,country_name,weo_2020
latin america,tt,country_name,weo_2020
latin america,uy,country_name,weo_2020
latin america,ve,country_name,weo_2020
middle east,bh,country_name,weo_2020
middle east,ir,country_name,weo_2020
middle east,iq,country_name,weo_2020
middle east,jo,country_name,weo_2020
middle east,kw,country_name,weo_2020
middle east,lb,country_name,weo_2020
middle east,om,country_name,weo_2020
middle east,qa,country_name,weo_2020
middle east,sa,country_name,weo_2020
middle east,sy,country_name,weo_2020
middle east,ae,country_name,weo_2020
middle east,ye,country_name,weo_2020
north africa,dz,country_name,weo_2020
north africa,eg,country_name,weo_2020
north africa,ly,country_name,weo_2020
north africa,ma,country_name,weo_2020
north africa,tn,country_name,weo_2020
north america,ca,country_name,weo_2020
north america,mx,country_name,weo_2020
north america,us,country_name,weo_2020
oecd,au,country_name,weo_2020
oecd,at,country_name,weo_2020
oecd,be,country_name,weo_2020
oecd,ca,country_name,weo_2020
oecd,cl,country_name,weo_2020
oecd,cz,country_name,weo_2020
oecd,dk,country_name,weo_2020
oecd,ee,country_name,weo_2020
oecd,fi,country_name,weo_2020
oecd,fr,country_name,weo_2020
oecd,de,country_name,weo_2020
oecd,gr,country_name,weo_2020
oecd,hu,country_name,weo_2020
oecd,is,country_name,weo_2020
oecd,ie,country_name,weo_2020
oecd,il,country_name,weo_2020
oecd,it,country_name,weo_2020
oecd,jp,country_name,weo_2020
oecd,kp,country_name,weo_2020
oecd,lv,country_name,weo_2020
oecd,lt,country_name,weo_2020
oecd,lu,country_name,weo_2020
oecd,mx,country_name,weo_2020
oecd,nl,country_name,weo_2020
oecd,nz,country_name,weo_2020
oecd,no,country_name,weo_2020
oecd,pl,country_name,weo_2020
oecd,pt,country_name,weo_2020
oecd,sk,country_name,weo_2020
oecd,si,country_name,weo_2020
oecd,es,country_name,weo_2020
oecd,se,country_name,weo_2020
oecd,ch,country_name,weo_2020
oecd,tr,country_name,weo_2020
oecd,gb,country_name,weo_2020
oecd,us,country_name,weo_2020
opec,dz,country_name,weo_2020
opec,ao,country_name,weo_2020
opec,cg,country_name,weo_2020
opec,gq,country_name,weo_2020
opec,ga,country_name,weo_2020
opec,ir,country_name,weo_2020
opec,iq,country_name,weo_2020
opec,kw,country_name,weo_2020
opec,ly,country_name,weo_2020
opec,ng,country_name,weo_2020
