source,isos,region
geco_2023,lc,global
geco_2023,vc,global
geco_2023,tt,global
geco_2023,bo,global
geco_2023,co,global
geco_2023,ec,global
geco_2023,gy,global
geco_2023,py,global
geco_2023,pe,global
geco_2023,sr,global
geco_2023,uy,global
geco_2023,ve,global
geco_2023,eg,global
geco_2023,dz,global
geco_2023,ly,global
geco_2023,ma,global
geco_2023,tn,global
geco_2023,za,global
geco_2023,bf,global
geco_2023,bi,global
geco_2023,cm,global
geco_2023,cv,global
geco_2023,cf,global
geco_2023,td,global
geco_2023,km,global
geco_2023,cg,global
geco_2023,cd,global
geco_2023,ci,global
geco_2023,dj,global
geco_2023,gq,global
geco_2023,er,global
geco_2023,et,global
geco_2023,ga,global
geco_2023,gm,global
geco_2023,gh,global
geco_2023,gn,global
geco_2023,gw,global
geco_2023,ke,global
geco_2023,ls,global
geco_2023,lr,global
geco_2023,mg,global
geco_2023,mw,global
geco_2023,ml,global
geco_2023,mr,global
geco_2023,mu,global
geco_2023,mz,global
geco_2023,NA,global
geco_2023,ne,global
geco_2023,ng,global
geco_2023,rw,global
geco_2023,sn,global
geco_2023,sl,global
geco_2023,so,global
geco_2023,sd,global
geco_2023,sz,global
geco_2023,tz,global
geco_2023,tg,global
geco_2023,ug,global
geco_2023,zm,global
geco_2023,ao,global
geco_2023,bj,global
geco_2023,bw,global
geco_2023,ir,global
geco_2023,sa,global
geco_2023,tr,global
geco_2023,il,global
geco_2023,jo,global
geco_2023,lb,global
geco_2023,sy,global
geco_2023,bh,global
geco_2023,iq,global
geco_2023,kw,global
geco_2023,om,global
geco_2023,qa,global
geco_2023,ae,global
geco_2023,ye,global
geco_2023,cn,global
geco_2023,in,global
geco_2023,id,global
geco_2023,my,global
geco_2023,th,global
geco_2023,vn,global
geco_2023,af,global
geco_2023,bd,global
geco_2023,bt,global
geco_2023,mv,global
geco_2023,np,global
geco_2023,pk,global
geco_2023,sc,global
geco_2023,lk,global
geco_2023,bn,global
geco_2023,kh,global
geco_2023,la,global
geco_2023,mn,global
geco_2023,mm,global
geco_2023,kp,global
geco_2023,sg,global
geco_2023,tw,global
geco_2023,au,global
geco_2023,jp,global
geco_2023,kr,global
geco_2023,nz,global
geco_2023,fj,global
geco_2023,ki,global
geco_2023,pg,global
geco_2023,ws,global
geco_2023,sb,global
geco_2023,to,global
geco_2023,vu,global
geco_2023,gb,global
geco_2023,at,global
geco_2023,be,global
geco_2023,bg,global
geco_2023,hr,global
geco_2023,cy,global
geco_2023,cz,global
geco_2023,dk,global
geco_2023,ee,global
geco_2023,fi,global
geco_2023,fr,global
geco_2023,de,global
geco_2023,gr,global
geco_2023,hu,global
geco_2023,ie,global
geco_2023,it,global
geco_2023,lv,global
geco_2023,lt,global
geco_2023,lu,global
geco_2023,mt,global
geco_2023,nl,global
geco_2023,pl,global
geco_2023,pt,global
geco_2023,ro,global
geco_2023,sk,global
geco_2023,si,global
geco_2023,es,global
geco_2023,se,global
geco_2023,ch,switzerland
geco_2023,is,iceland
geco_2023,no,norway
