source,isos,region
geco_2022,ec,global
geco_2022,gy,global
geco_2022,py,global
geco_2022,pe,global
geco_2022,sr,global
geco_2022,uy,global
geco_2022,ve,global
geco_2022,eg,global
geco_2022,dz,global
geco_2022,ly,global
geco_2022,ma,global
geco_2022,tn,global
geco_2022,za,global
geco_2022,bf,global
geco_2022,bi,global
geco_2022,cm,global
geco_2022,cv,global
geco_2022,cf,global
geco_2022,td,global
geco_2022,km,global
geco_2022,cg,global
geco_2022,cd,global
geco_2022,ci,global
geco_2022,dj,global
geco_2022,gq,global
geco_2022,er,global
geco_2022,et,global
geco_2022,ga,global
geco_2022,gm,global
geco_2022,gh,global
geco_2022,gn,global
geco_2022,gw,global
geco_2022,ke,global
geco_2022,ls,global
geco_2022,lr,global
geco_2022,mg,global
geco_2022,mw,global
geco_2022,ml,global
geco_2022,mr,global
geco_2022,mu,global
geco_2022,mz,global
geco_2022,NA,global
geco_2022,ne,global
geco_2022,ng,global
geco_2022,rw,global
geco_2022,sn,global
geco_2022,sl,global
geco_2022,so,global
geco_2022,sd,global
geco_2022,sz,global
geco_2022,tz,global
geco_2022,tg,global
geco_2022,ug,global
geco_2022,zm,global
geco_2022,ao,global
geco_2022,bj,global
geco_2022,bw,global
geco_2022,ir,global
geco_2022,sa,global
geco_2022,tr,global
geco_2022,il,global
geco_2022,jo,global
geco_2022,lb,global
geco_2022,sy,global
geco_2022,bh,global
geco_2022,iq,global
geco_2022,kw,global
geco_2022,om,global
geco_2022,qa,global
geco_2022,ae,global
geco_2022,ye,global
geco_2022,cn,global
geco_2022,in,global
geco_2022,id,global
geco_2022,my,global
geco_2022,th,global
geco_2022,vn,global
geco_2022,af,global
geco_2022,bd,global
geco_2022,bt,global
geco_2022,mv,global
geco_2022,np,global
geco_2022,pk,global
geco_2022,sc,global
geco_2022,lk,global
geco_2022,bn,global
geco_2022,kh,global
geco_2022,la,global
geco_2022,mn,global
geco_2022,mm,global
geco_2022,kp,global
geco_2022,sg,global
geco_2022,tw,global
geco_2022,au,global
geco_2022,jp,global
geco_2022,kr,global
geco_2022,nz,global
geco_2022,fj,global
geco_2022,ki,global
geco_2022,pg,global
geco_2022,ws,global
geco_2022,sb,global
geco_2022,to,global
geco_2022,vu,global
geco_2022,gb,global
geco_2022,at,global
geco_2022,be,global
geco_2022,bg,global
geco_2022,hr,global
geco_2022,cy,global
geco_2022,cz,global
geco_2022,dk,global
geco_2022,ee,global
geco_2022,fi,global
geco_2022,fr,global
geco_2022,de,global
geco_2022,gr,global
geco_2022,hu,global
geco_2022,ie,global
geco_2022,it,global
geco_2022,lv,global
geco_2022,lt,global
geco_2022,lu,global
geco_2022,mt,global
geco_2022,nl,global
geco_2022,pl,global
geco_2022,pt,global
geco_2022,ro,global
geco_2022,sk,global
geco_2022,si,global
geco_2022,es,global
geco_2022,se,global
geco_2022,ch,switzerland
geco_2022,is,iceland
geco_2022,no,norway
